,tau,theory,theory_size,theory_clos_size,n,sig_theory,sig_tau,sig_restr,sig_restr_theory,sys_grec,sigma_content
0,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, -7, -6, -5, -4, -3}",7,7,7,1,7,1,1,0.0,0.0
1,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 7, -6, -5, -4, -3}",7,7,7,1,7,1,1,0.0,0.0
2,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, 7, -6, -5, -3}",7,7,7,1,7,1,1,0.0,0.0
3,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, 6, -7, -3, -1}",7,7,7,1,7,1,1,0.0,0.0
4,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, 7, -6, -5, -4}",7,7,7,1,7,1,1,0.0,0.0
5,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, 4, 7, -6, -5}",7,7,7,1,7,1,1,0.0,0.0
6,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, -7, -6, -5, -3}",7,7,7,1,7,1,1,0.0,0.0
7,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, -7, -6, -5, -4, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
8,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -7, -6, -5, -4, -3}",6,7,7,1,7,1,1,0.0,0.0
9,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, -7, -6, -5, -4}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
10,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, -7, -6, -5, -3}",6,6,7,2,7,2,2,0.0,0.0
11,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, -7, -6, -4, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
12,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, -7, -5, -4, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
13,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, -6, -5, -4, -3}",6,6,7,2,7,2,2,0.0,0.0
14,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 7, -6, -5, -4, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
15,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 7, -6, -5, -4, -3}",6,7,7,1,7,1,1,0.0,0.0
16,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 7, -6, -5, -4}",6,6,7,2,7,2,2,0.0,0.0
17,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 7, -6, -5, -3}",6,6,7,2,7,2,2,0.0,0.0
18,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 7, -6, -4, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
19,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 7, -5, -4, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
20,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 7, -6, -5, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
21,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 4, 7, -6, -5, -3}",6,7,7,1,7,1,1,0.0,0.0
22,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, 7, -6, -5}",6,6,7,2,7,2,2,0.0,0.0
23,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, 7, -6, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
24,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, 7, -5, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
25,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, -6, -5, -3}",6,6,7,2,7,2,2,0.0,0.0
26,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, 6, -7, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
27,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 5, 6, -7, -3, -1}",6,7,7,1,7,1,1,0.0,0.0
28,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, 6, -7, -1}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
29,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 5, 6, -7, -3, -1}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
30,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 6, -7, -3, -1}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
31,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, -7, -3, -1}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
32,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, 6, -3, -1}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
33,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 3, 7, -6, -5, -4}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
34,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 3, 7, -6, -5, -4}",6,7,7,1,7,1,1,0.0,0.0
35,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, 7, -6, -5}",6,6,7,2,7,2,2,0.0,0.0
36,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, 7, -6, -4}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
37,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, 7, -5, -4}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
38,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, -6, -5, -4}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
39,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 3, 4, 7, -6, -5}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
40,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 3, 4, 7, -6, -5}",6,7,7,1,7,1,1,0.0,0.0
41,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, 4, 7, -6}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
42,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, 4, 7, -5}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
43,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3, 4, -6, -5}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
44,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, -7, -6, -5, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
45,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 4, -7, -6, -5, -3}",6,7,7,1,7,1,1,0.0,0.0
46,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, -7, -6, -5}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
47,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, -7, -6, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
48,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, -7, -5, -3}",6,7,7,1,7,2,1,0.027777777777777776,0.16666666666666666
49,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, -7, -3}",5,7,7,1,7,2,1,0.03333333333333333,0.16666666666666666
50,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 5, -7, -3, -1}",5,7,7,1,7,2,1,0.03333333333333333,0.16666666666666666
51,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, -7, -1}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
52,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 5, -7, -3, -1}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
53,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, -7, -3, -1}",5,7,7,1,7,2,1,0.03333333333333333,0.16666666666666666
54,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, -3, -1}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
55,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, 6, -7}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
56,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 5, 6, -7, -1}",5,7,7,1,7,2,1,0.03333333333333333,0.16666666666666666
57,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 5, 6, -7, -1}",5,7,7,1,7,4,1,0.06666666666666667,0.3333333333333333
58,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 6, -7, -1}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
59,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, 6, -1}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
60,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 7, -6, -5, -4}",5,6,7,2,7,3,2,0.03333333333333333,0.16666666666666666
61,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 7, -6, -5, -4}",5,6,7,2,7,2,2,0.0,0.0
62,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 7, -6, -5}",5,5,7,4,7,4,4,0.0,0.0
63,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 7, -6, -4}",5,6,7,2,7,3,2,0.03333333333333333,0.16666666666666666
64,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 7, -5, -4}",5,6,7,2,7,3,2,0.03333333333333333,0.16666666666666666
65,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, -6, -5, -4}",5,5,7,3,7,3,3,0.0,0.0
66,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 7, -6, -5}",5,6,7,2,7,3,2,0.03333333333333333,0.16666666666666666
67,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 4, 7, -6, -5}",5,6,7,2,7,2,2,0.0,0.0
68,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, 7, -6}",5,6,7,2,7,3,2,0.03333333333333333,0.16666666666666666
69,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, 7, -5}",5,6,7,2,7,3,2,0.03333333333333333,0.16666666666666666
70,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4, -6, -5}",5,5,7,3,7,3,3,0.0,0.0
71,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5, 6, -3}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
72,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 5, 6, -3, -1}",5,7,7,1,7,2,1,0.03333333333333333,0.16666666666666666
73,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 5, 6, -3, -1}",5,7,7,1,7,4,1,0.06666666666666667,0.3333333333333333
74,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 6, -3, -1}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
75,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, -7, -6, -5, -4}",5,7,7,1,7,3,1,0.05283208335737187,0.26416041678685936
