n,theory_size,theory_clos_size,systematicity,systematicity_type,gamma,alpha,beta
7,1,1,1.0,sys_bbb,,,
7,1,2,1.0,sys_bbb,,,
7,1,3,1.0,sys_bbb,,,
7,1,4,1.0,sys_bbb,,,
7,1,5,1.0,sys_bbb,,,
7,1,6,1.0,sys_bbb,,,
7,1,7,1.0,sys_bbb,,,
7,2,2,0.75,sys_bbb,,,
7,2,3,0.8888888888888888,sys_bbb,,,
7,2,4,0.9375,sys_bbb,,,
7,2,5,0.96,sys_bbb,,,
7,2,6,0.9722222222222222,sys_bbb,,,
7,2,7,0.9795918367346939,sys_bbb,,,
7,3,3,0.5555555555555556,sys_bbb,,,
7,3,4,0.75,sys_bbb,,,
7,3,5,0.84,sys_bbb,,,
7,3,6,0.8888888888888888,sys_bbb,,,
7,3,7,0.9183673469387755,sys_bbb,,,
7,4,4,0.4375,sys_bbb,,,
7,4,5,0.64,sys_bbb,,,
7,4,6,0.75,sys_bbb,,,
7,4,7,0.8163265306122449,sys_bbb,,,
7,5,5,0.3599999999999999,sys_bbb,,,
7,5,6,0.5555555555555556,sys_bbb,,,
7,5,7,0.6734693877551021,sys_bbb,,,
7,6,6,0.30555555555555547,sys_bbb,,,
7,6,7,0.4897959183673469,sys_bbb,,,
7,7,7,0.26530612244897966,sys_bbb,,,
7,1,1,0.18999999999999995,sys_mm,0.1,,
7,1,2,0.7975,sys_mm,0.1,,
7,1,3,0.91,sys_mm,0.1,,
7,1,4,0.949375,sys_mm,0.1,,
7,1,5,0.9676,sys_mm,0.1,,
7,1,6,0.9775,sys_mm,0.1,,
7,1,7,0.9834693877551021,sys_mm,0.1,,
7,2,2,0.09750000000000003,sys_mm,0.1,,
7,2,3,0.5988888888888889,sys_mm,0.1,,
7,2,4,0.774375,sys_mm,0.1,,
7,2,5,0.8556,sys_mm,0.1,,
7,2,6,0.8997222222222222,sys_mm,0.1,,
7,2,7,0.9263265306122449,sys_mm,0.1,,
7,3,3,0.06555555555555559,sys_mm,0.1,,
7,3,4,0.474375,sys_mm,0.1,,
7,3,5,0.6636,sys_mm,0.1,,
7,3,6,0.7663888888888889,sys_mm,0.1,,
7,3,7,0.8283673469387756,sys_mm,0.1,,
7,4,4,0.04937500000000006,sys_mm,0.1,,
7,4,5,0.39159999999999995,sys_mm,0.1,,
7,4,6,0.5774999999999999,sys_mm,0.1,,
7,4,7,0.6895918367346938,sys_mm,0.1,,
7,5,5,0.03959999999999986,sys_mm,0.1,,
7,5,6,0.33305555555555544,sys_mm,0.1,,
7,5,7,0.5099999999999999,sys_mm,0.1,,
7,6,6,0.033055555555555394,sys_mm,0.1,,
7,6,7,0.2895918367346939,sys_mm,0.1,,
7,7,7,0.028367346938775406,sys_mm,0.1,,
7,1,1,0.3599999999999999,sys_mm,0.2,,
7,1,2,0.84,sys_mm,0.2,,
7,1,3,0.9288888888888889,sys_mm,0.2,,
7,1,4,0.96,sys_mm,0.2,,
7,1,5,0.9744,sys_mm,0.2,,
7,1,6,0.9822222222222222,sys_mm,0.2,,
7,1,7,0.986938775510204,sys_mm,0.2,,
7,2,2,0.18999999999999995,sys_mm,0.2,,
7,2,3,0.64,sys_mm,0.2,,
7,2,4,0.7975,sys_mm,0.2,,
7,2,5,0.8704000000000001,sys_mm,0.2,,
7,2,6,0.91,sys_mm,0.2,,
7,2,7,0.9338775510204081,sys_mm,0.2,,
7,3,3,0.12888888888888905,sys_mm,0.2,,
7,3,4,0.51,sys_mm,0.2,,
7,3,5,0.6864000000000001,sys_mm,0.2,,
7,3,6,0.7822222222222223,sys_mm,0.2,,
7,3,7,0.8400000000000001,sys_mm,0.2,,
7,4,4,0.09750000000000003,sys_mm,0.2,,
7,4,5,0.4224,sys_mm,0.2,,
7,4,6,0.5988888888888889,sys_mm,0.2,,
7,4,7,0.7053061224489796,sys_mm,0.2,,
7,5,5,0.07840000000000003,sys_mm,0.2,,
7,5,6,0.3600000000000001,sys_mm,0.2,,
7,5,7,0.5297959183673469,sys_mm,0.2,,
7,6,6,0.06555555555555559,sys_mm,0.2,,
7,6,7,0.31346938775510214,sys_mm,0.2,,
7,7,7,0.05632653061224491,sys_mm,0.2,,
7,1,1,0.75,sys_mm,0.5,,
7,1,2,0.9375,sys_mm,0.5,,
7,1,3,0.9722222222222222,sys_mm,0.5,,
7,1,4,0.984375,sys_mm,0.5,,
7,1,5,0.99,sys_mm,0.5,,
7,1,6,0.9930555555555556,sys_mm,0.5,,
7,1,7,0.9948979591836735,sys_mm,0.5,,
7,2,2,0.4375,sys_mm,0.5,,
7,2,3,0.75,sys_mm,0.5,,
7,2,4,0.859375,sys_mm,0.5,,
7,2,5,0.91,sys_mm,0.5,,
7,2,6,0.9375,sys_mm,0.5,,
7,2,7,0.9540816326530612,sys_mm,0.5,,
7,3,3,0.30555555555555547,sys_mm,0.5,,
7,3,4,0.609375,sys_mm,0.5,,
7,3,5,0.75,sys_mm,0.5,,
7,3,6,0.8263888888888888,sys_mm,0.5,,
7,3,7,0.8724489795918368,sys_mm,0.5,,
7,4,4,0.234375,sys_mm,0.5,,
7,4,5,0.51,sys_mm,0.5,,
7,4,6,0.6597222222222221,sys_mm,0.5,,
7,4,7,0.75,sys_mm,0.5,,
7,5,5,0.18999999999999995,sys_mm,0.5,,
7,5,6,0.4375,sys_mm,0.5,,
7,5,7,0.586734693877551,sys_mm,0.5,,
7,6,6,0.15972222222222232,sys_mm,0.5,,
7,6,7,0.38265306122448983,sys_mm,0.5,,
7,7,7,0.1377551020408163,sys_mm,0.5,,
7,1,1,0.9099999999999999,sys_mm,0.7,,
7,1,2,0.9775,sys_mm,0.7,,
7,1,3,0.99,sys_mm,0.7,,
7,1,4,0.994375,sys_mm,0.7,,
7,1,5,0.9964,sys_mm,0.7,,
7,1,6,0.9975,sys_mm,0.7,,
